name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA, offering lush lawns and verdant tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces with high ceilings and ample natural light.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0.0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, featuring stunning architecture and stylish furnishings."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5.0,101,"Book your wedding, wedding reception, or rehearsal dinner at Wahoo! and let our outstanding staff handle the rest."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910, offering a historic and charming space."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5.0,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA, led by owner Chef Vincent Marra."
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0.0,0,FORTH Hotel Atlanta is a deluxe wedding venue in the trendy Old Fourth Ward neighborhood with an elegant ballroom.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5.0,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative with an industrial-meets-chic aesthetic.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings."
Terminus 330,"Atlanta, GA",$$,151-200 Guests,4.9,15,Terminus 330 is an award-winning wedding venue located in the heart of the Centennial Park District in downtown Atlanta.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"The Wimbish House has been the destination for weddings and events for nearly a century, known as ‘The Light on Peachtree.’"
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,93,Historic DeKalb Courthouse is a premier wedding venue in the heart of charming Decatur with an elegant Courtroom.
Rhodes Hall,"Atlanta, GA",$$,101-150 Guests,4.5,21,"Rhodes Hall is Atlanta’s most unique venue for weddings, known as the 'Castle on Peachtree.'"
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5.0,6,42West Entertainment Group offers a distinct blend of industrial modernity and refined elegance in West Atlanta.
The Trolley Barn,"Atlanta, GA",$$,201-250 Guests,4.2,42,"This 1889 structure features hardwood floors, a patio, and garden area off the main hall with climate-controlled spaces."
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue in Atlanta, GA, originally constructed in 1883."
The Westside Warehouse,"Atlanta, GA",$$,151-200 Guests,5.0,37,The Westside Warehouse is a converted warehouse with soaring cathedral ceilings in Atlanta’s west-midtown district.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0.0,0,"Hotel Colee is a deluxe wedding venue in Atlanta, GA, offering luxury and convenience."
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Waldorf Astoria Atlanta Buckhead combines luxury and Southern charm in a prestigious neighborhood.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5.0,9,Grand Hyatt Atlanta in Buckhead offers a luxurious yet down-to-earth vibe for weddings.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5.0,2,"The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue in Atlanta, GA."
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5.0,2,Omni Atlanta Hotel at CNN Center is the perfect Atlanta wedding venue with banquet and catering services.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,"Callanwolde Fine Arts Center is a unique wedding venue in Atlanta, GA, with a century-long legacy."
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5.0,3,Epicurean Hotel Atlanta is a luxe and lavish wedding venue inspired by modern architecture.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0.0,0,Renaissance Concourse Atlanta Airport Hotel combines luxury and convenience for weddings.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5.0,8,InterContinental Buckhead Atlanta combines classic charm with modern luxury.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5.0,2,"Enon Ranch is a beautiful rustic wedding venue in Atlanta, GA, offering a countryside feel."
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,"Pristine Chapel Lakeside is a luxe ceremony and reception venue in Jonesboro, GA, serving the Atlanta area."
Glover Park Brewery,"Marietta, GA",$$,251-300 Guests,4.9,49,"Glover Park Brewery is a unique wedding venue in Marietta, GA."
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,109,Stanley House Mansion is a stunning wedding venue for any couple’s exquisite celebrations.
